Unnamed: 0,data_paper_doi,research_paper_doi,data_paper_url,research_paper_url,research_paper_file_url,data_paper_has_file,research_paper_has_file,source,all_author_names_data_paper,all_author_names_research_paper,matching_authors,non_matching_authors,proportion_of_authors_found,data_paper_publication_date,research_paper_publication_date,days_between_publications
42,10.1038/s41597-022-01745-0,10.2139/ssrn.4387782,,,,TRUE,TRUE,jd,"Samuel Baltz, Alexander Agadjanian, Declan Chin, John A. Curiel, Kevin DeLuca, James Dunham, Jennifer Miranda, Connor Halloran Phillips, Annabel Uhlman, Cameron Wimpy, Marcos Daniel Zárate, Charles Stewart","Jack Williams, Samuel Baltz, Charles Stewart",Samuel Baltz,"Alexander Agadjanian, Declan Chin, John A. Curiel, Kevin DeLuca, James Dunham, Jennifer Miranda, Connor Halloran Phillips, Annabel Uhlman, Cameron Wimpy, Marcos Daniel Zárate, Charles Stewart",0.08333333333333330,2022-11-03,2023-03-18,135
43,10.1038/s41597-022-01714-7,10.1038/s41590-022-01329-5,,,,TRUE,TRUE,jd,"Joann Diray‐Arce, Helen Miller, Evan Henrich, Bram Gerritsen, Matthew P. Mulè, Slim Fourati, Jeremy P. Gygi, Thomas Hagan, Lewis E. Tomalin, Dmitry Rychkov, Dmitri Kazmin, Daniel G. Chawla, Hailong Meng, Patrick Dunn, John C. Campbell, Alison Deckhut-Augustine, Raphaël Gottardo, Elias K. Haddad, David A. Hafler, Eva Harris, Donna L. Farber, Ofer Levy, M. Juliana McElrath, Ruth R. Montgomery, Bjoern Peters, Adeeb Rahman, Elaine F. Reed, Nadine Rouphael, Ana Fernández-Sesma, Alessandro Sette, Ken Stuart, Alkis Togias, John S. Tsang, Minnie M. Sarwal, Bali Pulendran, Rafick Pierre Sékaly, Aris Floratos, Steven H. Kleinstein, Mayte Suárez‐Fariñas","Slim Fourati, Lewis E. Tomalin, Matthew P. Mulè, Daniel G. Chawla, Bram Gerritsen, Dmitry Rychkov, Evan Henrich, Helen Miller, Thomas Hagan, Joann Diray‐Arce, Patrick Dunn, Alison Deckhut-Augustine, Elias K. Haddad, David A. Hafler, Eva Harris, Donna L. Farber, M. Juliana McElrath, Ruth R. Montgomery, Bjoern Peters, Adeeb Rahman, Elaine F. Reed, Nadine Rouphael, Ana Fernández-Sesma, Alessandro Sette, Kenneth Stuart, Alkis Togias, Ofer Levy, Raphaël Gottardo, Minnie M. Sarwal, John S. Tsang, Mayte Suárez‐Fariñas, Bali Pulendran, Steven H. Kleinstein, Rafick‐Pierre Sékaly","Joann Diray‐Arce, Helen Miller, Evan Henrich, Bram Gerritsen, Matthew P. Mulè, Slim Fourati, Thomas Hagan, Lewis E. Tomalin, Dmitry Rychkov, Daniel G. Chawla, Patrick Dunn, Alison Deckhut-Augustine, Raphaël Gottardo, Elias K. Haddad, David A. Hafler, Eva Harris, Donna L. Farber, Ofer Levy, M. Juliana McElrath, Ruth R. Montgomery, Bjoern Peters, Adeeb Rahman, Elaine F. Reed, Nadine Rouphael, Ana Fernández-Sesma, Alessandro Sette, Alkis Togias, John S. Tsang, Minnie M. Sarwal, Bali Pulendran, Steven H. Kleinstein, Mayte Suárez‐Fariñas","Jeremy P. Gygi, Dmitri Kazmin, Hailong Meng, John C. Campbell, Ken Stuart, Rafick Pierre Sékaly, Aris Floratos",0.8205128205128210,2022-10-20,2022-10-31,11
44,10.1038/s41597-022-01688-6,10.1038/s41586-022-05320-w,,,,TRUE,TRUE,jd,"Ute Jandt, Helge Bruelheide, Christian Berg, Markus Bernhardt‐Römermann, Volker Blüml, Frank Bode, Jürgen Dengler, Martin Diekmann, H. Dierschke, Inken Doerfler, Ute Döring, Stefan Dullinger, Werner Härdtle, Sylvia Haider, Thilo Heinken, Peter Horchler, Florian Jansen, Thomas Kudernatsch, Gisbert Kuhn, Martin Lindner, Silvia Matesanz, Katrin Metze, Stefan Meyer, Frank Müller, Norbert Müller, Tobias Naaf, Cord Peppler‐Lisbach, Peter Poschlod, Christiane Roscher, Gert Rosenthal, Sabine B. Rumpf, Wolfgang Schmidt, Joachim Schrautzer, Angelika Schwabe, Peter Schwartze, Thomas Sperle, Nils Stanik, Hans-Georg Stroh, Christian Storm, Winfried Voigt, Andreas von Heßberg, Goddert von Oheimb, Eva‐Rosa Wagner, Uwe Wegener, Karsten Wesche, Burghard Wittig, Monika Wulf","Ute Jandt, Helge Bruelheide, Florian Jansen, Aletta Bonn, Volker Grescho, Reinhard Klenke, Francesco Sabatini, Markus Bernhardt‐Römermann, Volker Blüml, Jürgen Dengler, Martin Diekmann, Inken Doerfler, Ute Döring, Stefan Dullinger, Sylvia Haider, Thilo Heinken, Peter Horchler, Gisbert Kuhn, Martin Lindner, Katrin Metze, Norbert Müller, Tobias Naaf, Cord Peppler‐Lisbach, Peter Poschlod, Christiane Roscher, Gert Rosenthal, Sabine B. Rumpf, Wolfgang Schmidt, Joachim Schrautzer, Angelika Schwabe, Peter Schwartze, Thomas Sperle, Nils Stanik, Christian Storm, Winfried Voigt, Uwe Wegener, Karsten Wesche, Burghard Wittig, Monika Wulf","Ute Jandt, Helge Bruelheide, Markus Bernhardt‐Römermann, Volker Blüml, Jürgen Dengler, Martin Diekmann, Inken Doerfler, Stefan Dullinger, Sylvia Haider, Thilo Heinken, Peter Horchler, Florian Jansen, Gisbert Kuhn, Martin Lindner, Katrin Metze, Norbert Müller, Tobias Naaf, Cord Peppler‐Lisbach, Peter Poschlod, Christiane Roscher, Gert Rosenthal, Sabine B. Rumpf, Wolfgang Schmidt, Joachim Schrautzer, Angelika Schwabe, Peter Schwartze, Thomas Sperle, Nils Stanik, Christian Storm, Winfried Voigt, Uwe Wegener, Karsten Wesche, Burghard Wittig, Monika Wulf","Christian Berg, Frank Bode, H. Dierschke, Ute Döring, Werner Härdtle, Thomas Kudernatsch, Silvia Matesanz, Stefan Meyer, Frank Müller, Hans-Georg Stroh, Andreas von Heßberg, Goddert von Oheimb, Eva‐Rosa Wagner",0.723404255319149,2022-10-19,2022-10-19,0
45,10.1038/s41597-022-01664-0,10.1016/j.jgsce.2023.204877,,,,TRUE,TRUE,jd,"Javier E. Santos, Bernard Chang, Alex Gigliotti, Ying Yin, Wenhui Song, Maša Prodanović, Qinjun Kang, Nicholas Lubbers, Hari Viswanathan","Mohamed Mehana, Aleksandra Pachalieva, Ashish Kumar, Javier E. Santos, Daniel O’Malley, William D. Carey, Mukul M. Sharma, Hari Viswanathan","Javier E. Santos, Hari Viswanathan","Bernard Chang, Alex Gigliotti, Ying Yin, Wenhui Song, Maša Prodanović, Qinjun Kang, Nicholas Lubbers",0.2222222222222220,2022-10-03,2023-01-05,94
46,10.1038/s41597-022-01677-9,10.1007/s00406-023-01578-x,,,,TRUE,TRUE,jd,"Thania Balducci, Jalil Rasgado‐Toledo, Alely Valencia, Marie-José van Tol, André Alemán, Eduardo A. Garza‐Villarreal","Thania Balducci, Eduardo A. Garza‐Villarreal, Alely Valencia, André Alemán, Marie-José van Tol","Thania Balducci, Alely Valencia, Marie-José van Tol, André Alemán, Eduardo A. Garza‐Villarreal",Jalil Rasgado‐Toledo,0.8333333333333330,2022-09-23,2023-03-24,182
47,10.1038/s41597-022-01584-z,10.1111/gcb.15485,,,,TRUE,TRUE,jd,"Margaret R. Douglas, Paige Baisley, Sara Soba, Melanie Kammerer, Eric V. Lonsdorf, Christina M. Grozinger","Melanie Kammerer, Sarah Goslee, Margaret R. Douglas, John F. Tooker, Christina M. Grozinger","Margaret R. Douglas, Melanie Kammerer, Christina M. Grozinger","Paige Baisley, Sara Soba, Eric V. Lonsdorf",0.5,2022-09-16,2021-01-15,609
48,10.1038/s41597-022-01682-y,10.7554/eLife.70119,,,,TRUE,TRUE,jd,"Jessica Royer, Raúl Rodríguez‐Cruces, Shahin Tavakol, Sara Larivière, Peer Herholz, Qiongling Li, Reinder Vos de Wael, Casey Paquola, Oualid Benkarim, Bo‐yong Park, Alexander J. Lowe, Daniel S. Margulies, Jonathan Smallwood, Andrea Bernasconi, Neda Bernasconi, Birgit Frauscher, Boris C. Bernhardt","Casey Paquola, Jessica Royer, Lindsay B. Lewis, Claude Lepage, Tristan Glatard, Konrad Wagstyl, Jordan DeKraker, Paule-Joanne Toussaint, Sofie L. Valk, D. Louis Collins, Ali Raza Khan, Katrin Amunts, Alan C. Evans, Timo Dickscheid, Boris C. Bernhardt","Jessica Royer, Casey Paquola, Boris C. Bernhardt","Raúl Rodríguez‐Cruces, Shahin Tavakol, Sara Larivière, Peer Herholz, Qiongling Li, Reinder Vos de Wael, Oualid Benkarim, Bo‐yong Park, Alexander J. Lowe, Daniel S. Margulies, Jonathan Smallwood, Andrea Bernasconi, Neda Bernasconi, Birgit Frauscher",0.17647058823529400,2022-09-15,2021-08-25,386
49,10.1038/s41597-022-01655-1,10.1073/pnas.2216891120,,,,TRUE,TRUE,jd,"Christopher G. Mull, Nathan Pacoureau, Sebástian A. Pardo, Luz E. Saldaña-Ruiz, Emiliano García‐Rodríguez, Brittany Finucci, Max Haack, Alastair V. Harry, Aaron Judah, Wade J. VanderWright, Jamie S. Yin, Holly K. Kindsvater, Nicholas K. Dulvy","Nathan Pacoureau, John K. Carlson, Holly K. Kindsvater, Cassandra L. Rigby, Henning Winker, Colin A. Simpfendorfer, Patrícia Charvet, Riley A. Pollom, Rodrigo Barreto, C. Samantha Sherman, Brendan S. Talwar, Daniel J. Skerritt, U. Rashid Sumaila, Jay H. Matsushiba, Wade J. VanderWright, Helen F. Yan, Nicholas K. Dulvy","Nathan Pacoureau, Wade J. VanderWright, Holly K. Kindsvater","Christopher G. Mull, Sebástian A. Pardo, Luz E. Saldaña-Ruiz, Emiliano García‐Rodríguez, Brittany Finucci, Max Haack, Alastair V. Harry, Aaron Judah, Jamie S. Yin, Nicholas K. Dulvy",0.23076923076923100,2022-09-10,2023-01-23,135
50,10.1038/s41597-022-01556-3,10.1007/s44212-022-00022-0,,,,TRUE,TRUE,jd,"Jacob L. Macdonald, Les Dolega, Alex Singleton","Patrick Ballantyne, Alex Singleton, Les Dolega","Les Dolega, Alex Singleton",Jacob L. Macdonald,0.6666666666666670,2022-09-03,2022-12-20,108
51,10.1038/s41597-022-01627-5,10.1371/journal.pone.0279094,,,,TRUE,TRUE,jd,"Song‐Quan Ong, Hamdan Ahmad","Song-Quan Ong, Suhaila Ab. Hamid",Song‐Quan Ong,"Hamdan Ahmad, Suhaila Ab. Hamid",0.3333333333333330,2022-08-20,2022-12-30,132
52,10.1038/s41597-022-01592-z,10.1016/j.fcr.2022.108578,,,,TRUE,TRUE,jd,"Cameron I. Ludemann, Armelle Gruere, P. Heffer, A. Dobermann","Cameron I. Ludemann, Renske Hijbeek, Marloes P. van Loon, T. Scott Murrell, A. Dobermann, M.K. van Ittersum","Cameron I. Ludemann, A. Dobermann","Armelle Gruere, P. Heffer",0.5,2022-08-17,2022-05-30,79
53,10.1038/s41597-022-01596-9,10.1101/2022.11.01.514686,,,,TRUE,TRUE,jd,"Antonín Škoch, Barbora Rehák Bučková, Jan Mareš, Jaroslav Tintěra, Pavel Šanda, Lucia Jajcay, Jiří Horáček, Filip Španiel, Jaroslav Hlinka","Pavel Šanda, Jaroslav Hlinka, Monica van den Berg, Maxim Bazhenov, Georgios A. Keliris, Giri P. Krishnan","Pavel Šanda, Jaroslav Hlinka","Antonín Škoch, Barbora Rehák Bučková, Jan Mareš, Jaroslav Tintěra, Lucia Jajcay, Jiří Horáček, Filip Španiel",0.2222222222222220,2022-08-09,2022-11-02,85
54,10.1038/s41597-022-01574-1,10.1029/2021JC017975,,,,TRUE,TRUE,jd,"Kirstin Schulz, Volker Mohrholz, Ilker Fer, Markus Janout, Mario Hoppmann, Janin Schaffer, Zoé Koenig","Yusuke Kawaguchi, Zoé Koenig, Daïki Nomura, Mario Hoppmann, Jun Inoue, Ying‐Chih Fang, Kirstin Schulz, Michael Gallagher, Christian Katlein, Marcel Nicolaus, Benjamin Rabe","Kirstin Schulz, Zoé Koenig","Volker Mohrholz, Ilker Fer, Markus Janout, Mario Hoppmann, Janin Schaffer",0.2857142857142860,2022-08-03,2022-07-20,14
55,10.1038/s41597-022-01573-2,10.1038/s41598-022-24754-w,,,,TRUE,TRUE,jd,"Mohammud Z. Bocus, Wenda Li, Shelly Vishwakarma, Roget Kou, Chong Tang, K. Woodbridge, Ian Craddock, Ryan McConville, Raúl Santos-Rodríguez, Kevin Chetty, Robert J. Piechocki","Robert J. Piechocki, Xiaoyang Wang, Mohammud Z. Bocus","Mohammud Z. Bocus, Robert J. Piechocki","Wenda Li, Shelly Vishwakarma, Roget Kou, Chong Tang, K. Woodbridge, Ian Craddock, Ryan McConville, Raúl Santos-Rodríguez, Kevin Chetty",0.18181818181818200,2022-08-03,2023-02-03,184
56,10.1038/s41597-022-01597-8,10.3390/genes14030547,,,,TRUE,TRUE,jd,"Rotem Raz, Zvi Roth, Moran Gershoni","Moran Gershoni, Andrey Shirak, Yehoshav Ben-Meir, A. Shabtay, Miri Cohen-Zinder, Eyal Seroussi",Moran Gershoni,"Rotem Raz, Zvi Roth",0.3333333333333330,2022-08-02,2023-02-22,204
57,10.1038/s41597-022-01525-w,10.1016/j.actamat.2023.118801,,,,TRUE,TRUE,jd,"J.C. Stinville, Jonathan M. Hestroffer, Marie-Agathe Charpagne, Andrew Polonsky, McLean P. Echlin, Chris Torbet, Valéry Valle, Kelly E. Nygren, Matthew P. Miller, O. Klaas, Adrian Loghin, Irene J. Beyerlein, Tresa M. Pollock","Jonathan M. Hestroffer, J.C. Stinville, Marie-Agathe Charpagne, Matthew P. Miller, Tresa M. Pollock, Irene J. Beyerlein","J.C. Stinville, Jonathan M. Hestroffer, Marie-Agathe Charpagne, Matthew P. Miller, Irene J. Beyerlein, Tresa M. Pollock","Andrew Polonsky, McLean P. Echlin, Chris Torbet, Valéry Valle, Kelly E. Nygren, O. Klaas, Adrian Loghin",0.46153846153846200,2022-08-01,2023-02-25,208
58,10.1038/s41597-022-01551-8,10.1016/j.jvolgeores.2022.107642,,,,TRUE,TRUE,jd,"Riccardo Civico, T. Ricci, Piergiorgio Scarlato, Jacopo Taddeucci, Daniele Andronico, Elisabetta Del Bello, Luca D’Auria, Pedro A. Hernández, Nemesio M. Pérez","Jorge E. Romero, Mike Burton, Francisco Cáceres, Jacopo Taddeucci, Riccardo Civico, Tullio Ricci, Matthew Pankhurst, Pedro A. Hernández, Costanza Bonadonna, Edward W. Llewellin, Marco Pistolesi, Margherita Polacci, Carmen Solana, Luca D’Auria, Fabio Arzilli, Daniele Andronico, Fátima Rodríguez, María Asensio‐Ramos, Alba Martín-Lorenzo, Catherine Hayer, Piergiorgio Scarlato, Nemesio M. Pérez","Riccardo Civico, Piergiorgio Scarlato, Jacopo Taddeucci, Daniele Andronico, Luca D’Auria, Pedro A. Hernández, Nemesio M. Pérez","T. Ricci, Elisabetta Del Bello",0.7777777777777780,2022-07-28,2022-08-06,9
59,10.1038/s41597-022-01497-x,10.1038/s41598-022-25351-7,,,,TRUE,TRUE,jd,"Banuvathy Rajakumar, Varadhan SKM","Banuvathy Rajakumar, Varadhan SKM","Banuvathy Rajakumar, Varadhan SKM",,1.0,2022-07-28,2022-12-02,127
60,10.1038/s41597-022-01566-1,10.1016/j.ecolind.2023.109989,,,,TRUE,TRUE,jd,"Ryan A. McManamay, Rob George, Ryan R. Morrison, Benjamin L. Ruddell","Mark B. Lueders, Ryan A. McManamay",Ryan A. McManamay,"Rob George, Ryan R. Morrison, Benjamin L. Ruddell",0.25,2022-07-28,2023-02-10,197
61,10.1038/s41597-022-01506-z,10.1021/acs.jmedchem.2c01612,,,,TRUE,TRUE,jd,"Sven Marcel Stefan, Patric J. Jansson, Jens Pahnke, Vigneshwaran Namasivayam","Sachin Puri, Katja Stefan, Sharuk L. Khan, Jens Pahnke, Sven Marcel Stefan, Kapil Juvale","Sven Marcel Stefan, Jens Pahnke","Patric J. Jansson, Vigneshwaran Namasivayam",0.5,2022-07-26,2022-12-30,157
62,10.1038/s41597-022-01526-9,10.5194/amt-15-6789-2022,,,,TRUE,TRUE,jd,"Gijs de Boer, Radiance Calmer, Gina Jozef, John J. Cassano, Jonathan Hamilton, Dale Lawrence, Steven Borenstein, Abhiram Doddi, Christopher Cox, Julia Schmale, Andreas Preußer, Brian Argrow","Jonathan Hamilton, Gijs de Boer, Abhiram Doddi, Dale Lawrence","Gijs de Boer, Jonathan Hamilton, Dale Lawrence, Abhiram Doddi","Radiance Calmer, Gina Jozef, John J. Cassano, Steven Borenstein, Christopher Cox, Julia Schmale, Andreas Preußer, Brian Argrow",0.3333333333333330,2022-07-23,2022-11-23,123
63,10.1038/s41597-022-01552-7,10.3390/brainsci12111516,,,,TRUE,TRUE,jd,"Jon Andoni Duñabeitia, Ana Baciero, Kyriakos Antoniou, Mark Antoniou, Esra Ataman, Cristina Baus, Michal Ben-Shachar, Ozan Can Çağlar, Jan Chromý, Montserrat Comesaña, Maroš Filip, Dušica Filipović Đurđević, Margaret Gillon Dowens, Anna Hatzidaki, Jiří Januška, Zuraini Jusoh, Rama Kanj, Say Young Kim, Bilal Kırkıcı, Alina Leminen, Terje Lohndal, Ngee Thai Yap, Hanna Renvall, Jason Rothman, Phaedra Royle, Mikel Santesteban, Yamila Sevilla, Natalia Slioussar, Awel Vaughan-Evans, Zofia Wodniecka, Stefanie Wulff, Christos Pliatsikas","Francisco Rocabado, Jorge González Alonso, Jon Andoni Duñabeitia",Jon Andoni Duñabeitia,"Ana Baciero, Kyriakos Antoniou, Mark Antoniou, Esra Ataman, Cristina Baus, Michal Ben-Shachar, Ozan Can Çağlar, Jan Chromý, Montserrat Comesaña, Maroš Filip, Dušica Filipović Đurđević, Margaret Gillon Dowens, Anna Hatzidaki, Jiří Januška, Zuraini Jusoh, Rama Kanj, Say Young Kim, Bilal Kırkıcı, Alina Leminen, Terje Lohndal, Ngee Thai Yap, Hanna Renvall, Jason Rothman, Phaedra Royle, Mikel Santesteban, Yamila Sevilla, Natalia Slioussar, Awel Vaughan-Evans, Zofia Wodniecka, Stefanie Wulff, Christos Pliatsikas",0.03125,2022-07-21,2022-11-09,111
64,10.1038/s41597-022-01539-4,10.1038/s41598-023-33184-1,,,,TRUE,TRUE,jd,"Carolina E. S. Mattsson, Teodoro Criscione, William O. Ruddick","Carolina E. S. Mattsson, Teodoro Criscione, Frank W. Takes","Carolina E. S. Mattsson, Teodoro Criscione",William O. Ruddick,0.6666666666666670,2022-07-20,2023-04-11,265
65,10.1038/s41597-022-01513-0,10.1016/j.cliser.2023.100357,,,,TRUE,TRUE,jd,"Sebastian Candiago, Simon Tscholl, Leonardo Bassani, Hélder Fraga, Lukas Egarter Vigl","André Fonseca, Hélder Fraga, João A. Santos",Hélder Fraga,"Sebastian Candiago, Simon Tscholl, Leonardo Bassani, Lukas Egarter Vigl",0.2,2022-07-12,2023-02-04,207
66,10.1038/s41597-022-01507-y,10.1038/s41598-022-16089-3,,,,TRUE,TRUE,jd,"Xingzheng Lyu, Li Cheng, Sanyuan Zhang","Xingzheng Lyu, Purvish Jajal, Muhammad Zeeshan Tahir, Sanyuan Zhang","Xingzheng Lyu, Sanyuan Zhang",Li Cheng,0.6666666666666670,2022-07-11,2022-07-13,2
67,10.1038/s41597-022-01514-z,10.1111/conl.12918,,,,TRUE,TRUE,jd,"Shyama Pagad, Stewart Bisset, Piero Genovesi, Quentin Groom, Tim Hirsch, Walter Jetz, Ajay Ranipeta, Dmitry Schigel, Yanina V. Sica, Mélodie A. McGeoch","Joana R. Vicente, Ana Sofia Vaz, Mariona Roigé, Marten Winter, Bernd Lenzner, Douglas G. Clarke, Melodie A. McGeoch",Melodie A. McGeoch,"Shyama Pagad, Stewart Bisset, Piero Genovesi, Quentin Groom, Tim Hirsch, Walter Jetz, Ajay Ranipeta, Dmitry Schigel, Yanina V. Sica",0.1,2022-07-09,2022-08-30,52
68,10.1038/s41597-022-01453-9,10.1093/icesjms/fsac199,,,,TRUE,TRUE,jd,"Madeline Riley, Phoebe Meagher, Charlie Huveneers, Jacob Leto, Victor M. Peddemors, David J. Slip, John G. West, Corey J. A. Bradshaw","Madeline Riley, Corey J. A. Bradshaw, Charlie Huveneers","Madeline Riley, Charlie Huveneers, Corey J. A. Bradshaw","Phoebe Meagher, Jacob Leto, Victor M. Peddemors, David J. Slip, John G. West",0.375,2022-07-06,2022-10-19,105
69,10.1038/s41597-022-01468-2,10.1016/j.wace.2022.100508,,,,TRUE,TRUE,jd,"L. Harrison, M. F. Landsfeld, G. J. Husak, Frank Davenport, Shraddhanand Shukla, William Turner, Peter Y. Peterson, Chris Funk","Erin Coughlan de Pérez, L. Harrison, Kristoffer B. Berse, Evan Easton‐Calabria, Joalane Marunye, Makoala V. Marake, Sonia Binte Murshed, Shampa, Erlich-Honest Zauisomue",L. Harrison,"M. F. Landsfeld, G. J. Husak, Frank Davenport, Shraddhanand Shukla, William Turner, Peter Y. Peterson, Chris Funk",0.125,2022-06-30,2022-09-24,86
70,10.1038/s41597-022-01490-4,10.1126/sciadv.adf7209,,,,TRUE,TRUE,jd,"Xiang Li, Yongyun Hu, Jiaqi Guo, Jiawenjing Lan, Qifan Lin, Xiujuan Bao, Shuai Yuan, Mengyu Wei, Zhibo Li, Kai Man, Zihan Yin, Jing Han, Jian Zhang, Chenguang Zhu, Zhouqiao Zhao, Yonggang Liu, Jun Yang, Ji Nie","Jing Han, Ji Nie, Yongyun Hu, William R. Boos, Yonggang Liu, Jun Yang, Shuai Yuan, Xiang Li, Jiaqi Guo, Jiawenjing Lan, Qifan Lin, Xiujuan Bao, Mengyu Wei, Zhibo Li, Kai Man, Zihan Yin","Xiang Li, Yongyun Hu, Jiaqi Guo, Jiawenjing Lan, Qifan Lin, Xiujuan Bao, Shuai Yuan, Mengyu Wei, Zhibo Li, Kai Man, Zihan Yin, Jing Han, Yonggang Liu, Jun Yang, Ji Nie","Jian Zhang, Chenguang Zhu, Zhouqiao Zhao",0.8333333333333330,2022-06-28,2023-03-08,253
71,10.1038/s41597-022-01456-6,10.1016/j.dendro.2022.126012,,,,TRUE,TRUE,jd,"Olga N Solomina, Vladimir V Matskovsky, Ekaterina A Dolgova, Veronika V Kuznetsova, Nadezhda S Semenyak, Tatiana Bebchuk, Vladimir N Mikhalenko, Aleksey A Karpukhin, Bulat F Khasanov","Ekaterina A Dolgova, Olga N Solomina, Vladimir V Matskovsky, Е. А. Черенкова, Nadejda S. Semenyak","Olga N Solomina, Vladimir V Matskovsky, Ekaterina A Dolgova","Veronika V Kuznetsova, Nadezhda S Semenyak, Tatiana Bebchuk, Vladimir N Mikhalenko, Aleksey A Karpukhin, Bulat F Khasanov",0.3333333333333330,2022-06-27,2022-09-28,93
72,10.1038/s41597-022-01487-z,10.1111/gcb.16362,,,,TRUE,TRUE,jd,"Ernesto Azzurro, Sonia Smeraldo, Annalisa Minelli, Manuela D’Amen","Ernesto Azzurro, Sonia Smeraldo, Manuela D’Amen","Ernesto Azzurro, Sonia Smeraldo, Manuela D’Amen",Annalisa Minelli,0.75,2022-06-25,2022-09-02,69
73,10.1038/s41597-022-01482-4,10.1002/hipo.23539,,,,TRUE,TRUE,jd,"Runnan Cao, Chujun Lin, Nicholas Brandmeir, Shuo Wang","Thomas Donoghue, Runnan Cao, Claire Z Han, Cameron Monteith Holman, Nicholas Brandmeir, Shuo Wang, Joshua Jacobs","Runnan Cao, Nicholas Brandmeir, Shuo Wang",Chujun Lin,0.75,2022-06-25,2023-04-15,294
74,10.1038/s41597-022-01479-z,10.1093/jhered/esac020,,,,TRUE,TRUE,jd,"Joscha Beninde, Erin Toffelmier, Aarron Andreas, Celina Nishioka, Meryl Slay, Ashley Soto, Justin P Bueno, Germar Gonzalez, Hannah V Pham, Molly Posta, Jordan L. Pace, H. Bradley Shaffer","H. Bradley Shaffer, Erin Toffelmier, Russell Corbett-Detig, Merly Escalona, Bjorn Erickson, Peggy L. Fiedler, Mark Gold, Ryan J. Harrigan, Scott A. Hodges, Tara K Luckau, Craig W. Miller, Daniel R. A. Oliveira, Kevin Shaffer, Beth Shapiro, Victoria L. Sork, Ian Wang","Erin Toffelmier, H. Bradley Shaffer","Joscha Beninde, Aarron Andreas, Celina Nishioka, Meryl Slay, Ashley Soto, Justin P Bueno, Germar Gonzalez, Hannah V Pham, Molly Posta, Jordan L. Pace",0.16666666666666700,2022-07-05,2022-04-08,88
75,10.1038/s41597-022-01477-1,10.1109/JSTQE.2023.3258687,,,,TRUE,TRUE,jd,"Radu Hristu, Stefan G. Stanciu, Adrian Dumitru, Lucian G. Eftimie, Bogdan C. Paun, Denis E. Trancă, Pavel Gheorghita, Mariana Costache, George Stanciu","Stefan R. Anton, Rosa M. Martínez-Ojeda, Radu Hristu, George Stanciu, Antonela Toma, Cosmin Karl Bănică, Enrique J. Fernández, Mikko J. Huttunen, Juan M. Bueno, Stefan G. Stanciu","Radu Hristu, Stefan G. Stanciu, George Stanciu","Adrian Dumitru, Lucian G. Eftimie, Bogdan C. Paun, Denis E. Trancă, Pavel Gheorghita, Mariana Costache",0.3333333333333330,2022-07-02,2023-03-17,258
76,10.1038/s41597-022-01452-w,10.3390/tropicalmed7120445,,,,TRUE,TRUE,jd,"Natalia Velásquez-Ortiz, Giovanny Herrera, Carolina Hernández, Marina Muñoz, Juan David Ramírez","Natalia Velasquez-Ortíz, Carolina Hernández, Omar Cantillo-Barraza, Nathalia Ballesteros, Lissa Cruz-Saavedra, Giovanny Herrera, Luz Stella Buitrago, Hugo Soto, Manuel Medina, Jatney Palacio, Marina Stella González, Andrés M. Cuervo, Gustavo Adolfo Vallejo, Liliana Zuleta Dueñas, Plutarco Urbano, Marina Muñoz, Juan David Ramírez","Natalia Velásquez-Ortiz, Giovanny Herrera, Carolina Hernández, Marina Muñoz, Juan David Ramírez",,1.0,2022-06-24,2022-12-19,178
77,10.1038/s41597-022-01467-3,10.1088/2515-7620/ac66cb,,,,TRUE,TRUE,jd,"L. Mitchell, John C. Lin, Lucy R. Hutyra, David R. Bowling, R. C. Cohen, K. J. Davis, Elizabeth DiGangi, Riley Duren, James R. Ehleringer, Clayton Fain, Matthias M. Falk, Apratim Guha, A. Karion, Ralph F. Keeling, Jooil Kim, N. L. Miles, Charles E. Miller, Sally Newman, Diane E. Pataki, Steve Prinzivalli, Xinrong Ren, A. L. Rice, Scott J. Richardson, M. R. Sargent, B. B. Stephens, J. C. Turnbull, K. R. Verhulst, Felix Vogel, Ray F. Weiss, J. R. Whetstone, Steven C. Wofsy","Vanessa C. Monteiro, N. L. Miles, Scott J. Richardson, J. C. Turnbull, A. Karion, Jooil Kim, L. Mitchell, John C. Lin, M. R. Sargent, S. C. Wofsy, Felix Vogel, Kenneth J. Davis","L. Mitchell, John C. Lin, A. Karion, Jooil Kim, N. L. Miles, Scott J. Richardson, M. R. Sargent, J. C. Turnbull, Felix Vogel","Lucy R. Hutyra, David R. Bowling, R. C. Cohen, K. J. Davis, Elizabeth DiGangi, Riley Duren, James R. Ehleringer, Clayton Fain, Matthias M. Falk, Apratim Guha, Ralph F. Keeling, Charles E. Miller, Sally Newman, Diane E. Pataki, Steve Prinzivalli, Xinrong Ren, A. L. Rice, B. B. Stephens, K. R. Verhulst, Ray F. Weiss, J. R. Whetstone, Steven C. Wofsy",0.2903225806451610,2022-06-24,2022-04-12,73
