Unnamed: 0,data_paper_doi,research_paper_doi,data_paper_url,research_paper_url,research_paper_file_url,data_paper_has_file,research_paper_has_file,source,all_author_names_data_paper,all_author_names_research_paper,matching_authors,non_matching_authors,proportion_of_authors_found,data_paper_publication_date,research_paper_publication_date,days_between_publications
12,10.5334/johd.14,10.1002/asi.24499,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.14,https://onlinelibrary.wiley.com/doi/10.1002/asi.24499,https://helda.helsinki.fi/bitstream/10138/338558/1/Open_data.pdf,TRUE,TRUE,original-johd,"Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, David Lewis, A. J. W. Morrison, Kevin Page, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman","Mikko Koho, Toby Burrows, Eero Hyvönen, Esko Ikkala, Kevin Page, Lynn Ransom, Jouni Tuominen, Doug Emery, Mitch Fraas, Benjamin Heller, David Lewis, A. J. W. Morrison, Guillaume Porte, Emma Thomson, Athanasios Velios, Hanno Wijsman","Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, A. J. W. Morrison, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman","David Lewis, Kevin Page",0.8571428571428570,2020-06-11,2021-05-26,349
13,10.5334/johd.14,10.1353/mns.2018.0012,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.14,https://muse.jhu.edu/article/693321,https://research.aalto.fi/files/64503054/SCI_Tamper_Using_Biographical_Texts_as_Linked_Data.2018.pdf,TRUE,TRUE,original-johd,"Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, David Lewis, A. J. W. Morrison, Kevin Page, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman","Toby Burrows, Eero Hyvönen, Lynn Ransom, Hanno Wijsman","Toby Burrows, Eero Hyvönen, Lynn Ransom, Hanno Wijsman","Doug Emery, Mitch Fraas, Esko Ikkala, Mikko Koho, David Lewis, A. J. W. Morrison, Kevin Page, Emma Thomson, Jouni Tuominen, Athanasios Velios",0.2857142857142860,2020-06-11,2018-05-13,760
14,10.5334/johd.17,10.3390/informatics7040044,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.17,https://www.mdpi.com/2227-9709/7/4/44,https://www.mdpi.com/2227-9709/7/4/44/pdf,TRUE,TRUE,original-johd,Marton Ribary,"Marton Ribary, Barbara McGillivray",Marton Ribary,,1.0,2020-08-05,2020-10-15,71
15,10.5334/johd.21,10.1371/journal.pone.0236166,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.21,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236166,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0236166&type=printable,TRUE,TRUE,original-johd,"S. Scott Graham, Zoltan P. Majdik, Dave Clark","S. Scott Graham, Zoltan P. Majdik, Dave Clark, Molly M. Kessler, Tristin Brynn Hooker","S. Scott Graham, Zoltan P. Majdik, Dave Clark",,1.0,2020-11-19,2020-07-24,118
16,10.5334/johd.21,10.1093/jamiaopen/ooab089,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.21,https://academic.oup.com/jamiaopen/article/doi/10.1093/jamiaopen/ooab089/6414028,https://academic.oup.com/jamiaopen/article-pdf/4/4/ooab089/41010120/ooab089.pdf,TRUE,TRUE,original-johd,"S. Scott Graham, Zoltan P. Majdik, Dave Clark","S. Scott Graham, Zoltan P. Majdik, Joshua B. Barbour, Justin F. Rousseau","S. Scott Graham, Zoltan P. Majdik",Dave Clark,0.6666666666666670,2020-11-19,2021-10-31,346
17,10.5334/johd.20,10.17813/1086-671x-24-2-157,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.20,https://meridian.allenpress.com/mobilization/article/24/2/157/425951/GENDER-AND-RACE-IN-THE-OCCUPY-MOVEMENT-RELATIONAL,,TRUE,FALSE,original-johd,"Stéphanie Becker, H. Hurwitz, Anne Kumer",H. Hurwitz,H. Hurwitz,"Stéphanie Becker, Anne Kumer",0.3333333333333330,2020-11-23,2019-06-14,528
18,10.5334/johd.20,10.4324/9780203728628-7,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.20,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203728628-7/femga-sayhername-nothereforboys-heather-mckee-hurwitz,,TRUE,FALSE,original-johd,"Stéphanie Becker, H. Hurwitz, Anne Kumer",H. Hurwitz,H. Hurwitz,"Stéphanie Becker, Anne Kumer",0.3333333333333330,2020-11-23,2019-02-07,655
19,10.5334/johd.22,10.1093/llc/fqab032,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.22,https://academic.oup.com/dsh/article/36/Supplement_2/ii109/6421793,https://academic.oup.com/dsh/article-pdf/36/Supplement_2/ii109/41091152/fqab032.pdf,TRUE,TRUE,original-johd,"Simon Hengchen, Nina Tahmasebi","Simon Hengchen, Ruben Ros, Jani Marjanen, Mikko Tolonen",Simon Hengchen,Nina Tahmasebi,0.5,2021-01-27,2021-03-24,56
20,10.5334/johd.25,10.1515/lingvan-2021-0053,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.25,https://www.degruyter.com/document/doi/10.1515/lingvan-2021-0053/html,https://www.degruyter.com/document/doi/10.1515/lingvan-2021-0053/pdf,TRUE,TRUE,original-johd,"Lauren Hall‐Lew, Claire Cowie, Stephen Joseph McNulty, Nina Markl, Shan‐Jan Sarah Liu, Catherine Lai, Clare Llewellyn, Beatrice Alex, Nini Fang, Zuzana Elliott, Anita Klingler","Lauren Hall‐Lew, Claire Cowie, Catherine Lai, Nina Markl, Stephen Joseph McNulty, Shan‐Jan Sarah Liu, Clare Llewellyn, Beatrice Alex, Zuzana Elliott, Anita Klingler","Lauren Hall‐Lew, Claire Cowie, Stephen Joseph McNulty, Nina Markl, Shan‐Jan Sarah Liu, Catherine Lai, Clare Llewellyn, Beatrice Alex, Zuzana Elliott, Anita Klingler",Nini Fang,0.9090909090909090,2021-04-16,2022-02-21,311
21,10.5334/johd.32,10.5334/johd.31,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.32,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.31,http://openhumanitiesdata.metajnl.com/articles/10.5334/johd.31/galley/53/download/,TRUE,TRUE,original-johd,"Veronika Solopova, Tatjana Scheffler, Mihaela Popa‐Wyatt","Tatjana Scheffler, Veronika Solopova, Mihaela Popa‐Wyatt","Veronika Solopova, Tatjana Scheffler, Mihaela Popa‐Wyatt",,1.0,2021-07-05,2021-07-05,0
